Catalog ID,Year,Catalog Type
37,2025-2026,Undergraduate
36,2025-2026,Graduate
35,2024-2025,Undergraduate
34,2024-2025,Graduate
32,2023-2024,Undergraduate
33,2023-2024,Graduate
30,2022-2023,Undergraduate
31,2022-2023,Graduate
26,2021-2022,Undergraduate
25,2021-2022,Graduate
23,2020-2021,Undergraduate
24,2020-2021,Graduate
22,2019-2020,Undergraduate
21,2019-2020,Graduate
20,2018-2019,Undergraduate
19,2018-2019,Graduate
17,2017-2018,Undergraduate
18,2017-2018,Graduate
15,2016-2017,Undergraduate
16,2016-2017,Graduate
13,2015-2016,Undergraduate
14,2015-2016,Graduate
11,2014-2015,Undergraduate
12,2014-2015,Graduate
9,2013-2014,Undergraduate
10,2013-2014,Graduate
5,2012-2013,Undergraduate
7,2012-2013,Graduate
3,2011-2012,Undergraduate
4,2011-2012,Graduate